Date,Open,High,Low,Close,Volume
2020-01-01,400.0,414.0,396.3500061035156,409.5,391573
2020-01-02,410.1000061035156,414.25,392.20001220703125,397.54998779296875,155586
2020-01-03,397.45001220703125,405.1000061035156,386.29998779296875,388.04998779296875,119354
2020-01-06,382.0,390.8999938964844,375.25,378.5,119199
2020-01-07,389.0,394.29998779296875,381.0,388.1000061035156,220094
2020-01-08,380.0,390.0,378.29998779296875,383.75,94642
2020-01-09,389.95001220703125,399.5,385.1000061035156,398.20001220703125,115937
2020-01-10,401.8500061035156,409.0,396.04998779296875,403.8500061035156,118118
2020-01-13,405.0,419.5,402.20001220703125,416.70001220703125,238144
2020-01-14,418.0,421.0,411.6499938964844,416.5,140987
2020-01-15,418.0,418.0,408.6499938964844,413.79998779296875,63870
2020-01-16,417.5,425.95001220703125,413.0,415.70001220703125,114249
2020-01-17,419.0,430.8999938964844,416.25,420.04998779296875,166710
2020-01-20,420.04998779296875,429.0,409.20001220703125,412.8500061035156,75870
2020-01-21,414.0,415.0,402.0,407.75,121070
2020-01-22,409.6000061035156,414.8999938964844,400.0,403.1000061035156,48940
2020-01-23,403.1000061035156,406.45001220703125,396.70001220703125,399.04998779296875,55973
2020-01-24,396.0,402.1499938964844,391.6499938964844,394.1499938964844,62433
2020-01-27,394.1499938964844,400.0,378.6499938964844,386.75,253337
2020-01-28,393.0,395.95001220703125,381.29998779296875,386.04998779296875,157728
2020-01-29,389.1000061035156,394.1499938964844,375.1000061035156,381.04998779296875,80345
2020-01-30,381.20001220703125,382.04998779296875,369.5,372.1499938964844,56785
2020-01-31,377.8500061035156,379.95001220703125,368.20001220703125,371.04998779296875,40371
2020-02-03,364.0,366.04998779296875,349.6000061035156,350.25,42393
2020-02-04,358.75,367.8999938964844,350.04998779296875,362.1000061035156,81630
2020-02-05,370.8999938964844,370.8999938964844,362.29998779296875,366.29998779296875,41962
2020-02-06,365.20001220703125,374.5,360.20001220703125,367.6499938964844,93907
2020-02-07,367.95001220703125,373.0,364.1000061035156,364.8500061035156,39800
2020-02-10,368.20001220703125,374.79998779296875,359.1000061035156,365.29998779296875,96830
2020-02-11,364.1000061035156,368.75,359.20001220703125,362.5,38442
2020-02-12,363.79998779296875,368.70001220703125,356.1499938964844,359.6000061035156,48471
2020-02-13,359.8999938964844,359.8999938964844,351.5,353.3500061035156,40752
2020-02-14,355.8999938964844,361.95001220703125,345.0,358.95001220703125,84864
2020-02-17,361.1499938964844,365.0,355.04998779296875,360.20001220703125,38048
2020-02-18,359.1000061035156,359.1000061035156,339.95001220703125,349.5,76215
2020-02-19,356.29998779296875,357.0,343.0,350.04998779296875,54789
2020-02-20,350.5,355.0,343.1000061035156,347.6000061035156,42512
2020-02-24,341.04998779296875,346.1000061035156,339.0,342.79998779296875,48074
2020-02-25,346.8999938964844,347.95001220703125,341.0,344.1499938964844,21166
2020-02-26,343.8500061035156,343.8500061035156,335.5,339.6499938964844,56819
2020-02-27,339.0,340.0,322.04998779296875,337.6000061035156,53361
2020-02-28,327.0,345.0,321.0,328.5,63951
2020-03-02,333.1000061035156,340.0,327.0,331.29998779296875,41674
2020-03-03,330.0,339.95001220703125,326.79998779296875,332.0,39455
2020-03-04,336.8999938964844,336.8999938964844,314.04998779296875,316.8999938964844,63457
2020-03-05,323.79998779296875,332.75,318.0,329.29998779296875,61828
2020-03-06,320.0,328.0,310.0,321.1000061035156,88012
2020-03-09,315.0,315.0,292.0,299.70001220703125,113412
2020-03-11,293.0,306.95001220703125,289.54998779296875,304.54998779296875,110272
2020-03-12,279.0,290.8999938964844,255.0,256.1000061035156,216230
2020-03-13,217.0,268.79998779296875,205.0500030517578,256.04998779296875,137096
2020-03-16,252.8000030517578,255.89999389648438,225.10000610351562,234.85000610351562,92747
2020-03-17,227.0500030517578,237.85000610351562,226.0,231.5,51290
2020-03-18,235.9499969482422,245.0,228.0,240.25,85362
2020-03-19,232.0,248.0500030517578,220.0,240.0500030517578,66487
2020-03-20,231.35000610351562,254.39999389648438,231.35000610351562,250.4499969482422,57250
2020-03-23,221.0,239.89999389648438,200.39999389648438,200.4499969482422,79201
