Date,Open,High,Low,Close,Volume
2020-01-01,134.66000366210938,137.0,133.75,135.3000030517578,15390
2020-01-02,134.80999755859375,137.8000030517578,134.8000030517578,137.0500030517578,11545
2020-01-03,136.4600067138672,138.49000549316406,134.8000030517578,136.22000122070312,14460
2020-01-06,134.02999877929688,139.00999450683594,133.00999450683594,137.27000427246094,20260
2020-01-07,136.63999938964844,139.49000549316406,134.5800018310547,135.42999267578125,19740
2020-01-08,134.72000122070312,136.61000061035156,133.74000549316406,135.6999969482422,19460
2020-01-09,136.14999389648438,140.92999267578125,134.1199951171875,136.9199981689453,130645
2020-01-10,136.38999938964844,152.0,136.38999938964844,139.17999267578125,437285
2020-01-13,141.5800018310547,141.5800018310547,137.22000122070312,137.5500030517578,24720
2020-01-14,137.22000122070312,140.8000030517578,136.39999389648438,137.16000366210938,39975
2020-01-15,138.00999450683594,140.0,136.60000610351562,138.75,40285
2020-01-16,137.39999389648438,141.44000244140625,137.39999389648438,139.49000549316406,55220
2020-01-17,139.77999877929688,145.60000610351562,138.0,144.9600067138672,92850
2020-01-20,144.00999450683594,147.0,141.8300018310547,145.67999267578125,49615
2020-01-21,144.1300048828125,151.8000030517578,142.2100067138672,143.92999267578125,131825
2020-01-22,143.64999389648438,148.8000030517578,143.64999389648438,146.94000244140625,69995
2020-01-23,146.94000244140625,148.0,142.3000030517578,143.6999969482422,29745
2020-01-24,146.1999969482422,146.1999969482422,140.55999755859375,142.5800018310547,19995
2020-01-27,141.0500030517578,147.6999969482422,141.0500030517578,146.69000244140625,37430
2020-01-28,146.02000427246094,149.50999450683594,145.10000610351562,147.72999572753906,42225
2020-01-29,145.47000122070312,149.9600067138672,144.7899932861328,146.1300048828125,33545
2020-01-30,147.8000030517578,148.0,142.38999938964844,144.0399932861328,43255
2020-01-31,143.67999267578125,149.0,142.52000427246094,148.0500030517578,45030
2020-02-03,138.10000610351562,146.55999755859375,135.32000732421875,144.0399932861328,108685
2020-02-04,141.41000366210938,148.60000610351562,141.41000366210938,147.4499969482422,52630
2020-02-05,143.61000061035156,151.0,143.61000061035156,149.74000549316406,131420
2020-02-06,149.1999969482422,151.8000030517578,147.60000610351562,149.7100067138672,38890
2020-02-07,148.1999969482422,150.5800018310547,145.0,147.64999389648438,30900
2020-02-10,145.32000732421875,149.0,142.1999969482422,144.32000732421875,120280
2020-02-11,145.39999389648438,147.38999938964844,141.00999450683594,145.6300048828125,39695
2020-02-12,143.6300048828125,147.0,142.1199951171875,143.58999633789062,28290
2020-02-13,145.39999389648438,145.39999389648438,140.4600067138672,142.0,26485
2020-02-14,143.8000030517578,146.94000244140625,141.39999389648438,144.89999389648438,36935
2020-02-17,143.25999450683594,145.07000732421875,141.1300048828125,142.77999877929688,14565
2020-02-18,141.02000427246094,142.3000030517578,138.6300048828125,140.02999877929688,40800
2020-02-19,141.39999389648438,143.1999969482422,139.38999938964844,141.19000244140625,132345
2020-02-20,142.1999969482422,145.8000030517578,139.61000061035156,141.36000061035156,108285
2020-02-24,140.0,141.1999969482422,138.1999969482422,138.3800048828125,13855
2020-02-25,138.44000244140625,138.58999633789062,133.4499969482422,134.99000549316406,22695
2020-02-26,134.39999389648438,135.35000610351562,128.50999450683594,129.6699981689453,94910
2020-02-27,130.8000030517578,139.0,127.19999694824219,134.47000122070312,86080
2020-02-28,127.80000305175781,137.42999267578125,125.98999786376953,133.25,124130
2020-03-02,133.60000610351562,136.30999755859375,129.39999389648438,133.32000732421875,140235
2020-03-03,129.32000732421875,136.39999389648438,129.32000732421875,135.4499969482422,867185
2020-03-04,135.0,140.0,130.60000610351562,138.9499969482422,925080
2020-03-05,138.39999389648438,138.39999389648438,132.39999389648438,133.5800018310547,30100
2020-03-06,132.97999572753906,134.0,128.39999389648438,128.88999938964844,928220
2020-03-09,128.3000030517578,128.3000030517578,122.41999816894531,122.94999694824219,51225
2020-03-11,127.76000213623047,128.99000549316406,120.80000305175781,127.51000213623047,54705
2020-03-12,120.19999694824219,125.0,110.26000213623047,116.77999877929688,103190
2020-03-13,110.0,119.58000183105469,94.04000091552734,117.66000366210938,228480
2020-03-16,117.19999694824219,117.19999694824219,106.19999694824219,106.9800033569336,63740
2020-03-17,107.0,108.11000061035156,104.0199966430664,105.62999725341797,38075
2020-03-18,106.02999877929688,109.0199966430664,94.51000213623047,97.12000274658203,91455
