Date,Cash,PositionsValue,Equity
2020-01-01,1000000.0,0.0,1000000.0
2020-01-02,1000000.0,0.0,1000000.0
2020-01-03,1000000.0,0.0,1000000.0
2020-01-06,1000000.0,0.0,1000000.0
2020-01-07,1000000.0,0.0,1000000.0
2020-01-08,1000000.0,0.0,1000000.0
2020-01-09,1000000.0,0.0,1000000.0
2020-01-10,1000000.0,0.0,1000000.0
2020-01-13,1000000.0,0.0,1000000.0
2020-01-14,1000000.0,0.0,1000000.0
2020-01-15,1000000.0,0.0,1000000.0
2020-01-16,1000000.0,0.0,1000000.0
2020-01-17,1000000.0,0.0,1000000.0
2020-01-20,1000000.0,0.0,1000000.0
2020-01-21,1000000.0,0.0,1000000.0
2020-01-22,1000000.0,0.0,1000000.0
2020-01-23,1000000.0,0.0,1000000.0
2020-01-24,1000000.0,0.0,1000000.0
2020-01-27,1000000.0,0.0,1000000.0
2020-01-28,1000000.0,0.0,1000000.0
2020-01-29,1000000.0,0.0,1000000.0
2020-01-30,1000000.0,0.0,1000000.0
2020-01-31,1000000.0,0.0,1000000.0
2020-02-03,1000000.0,0.0,1000000.0
2020-02-04,1000000.0,0.0,1000000.0
2020-02-05,1000000.0,0.0,1000000.0
2020-02-06,1000000.0,0.0,1000000.0
2020-02-07,1000000.0,0.0,1000000.0
2020-02-10,1000000.0,0.0,1000000.0
2020-02-11,1000000.0,0.0,1000000.0
2020-02-12,1000000.0,0.0,1000000.0
2020-02-13,436094.2850198976,575939.8444519043,1012034.1294718019
2020-02-14,31618.019489087135,984797.927947998,1016415.9474370852
2020-02-17,31618.019489087135,981682.1719055176,1013300.1913946047
2020-02-18,31618.019489087135,976571.7017822266,1008189.7212713137
2020-02-19,31618.019489087135,983190.7374572754,1014808.7569463626
2020-02-20,31618.019489087135,976292.7663574219,1007910.785846509
2020-02-24,183902.42025993968,800949.1090087891,984851.5292687288
2020-02-25,376490.56802565424,604710.2575073242,981200.8255329784
2020-02-26,570379.0943201492,405347.0985107422,975726.1928308913
2020-02-27,570379.0943201492,406506.3015136719,976885.395833821
2020-02-28,765711.5918628813,200077.0,965788.5918628813
2020-03-02,765711.5918628813,198669.3955078125,964380.9873706938
2020-03-03,765711.5918628813,199331.791015625,965043.3828785063
2020-03-04,765711.5918628813,200178.208984375,965889.8008472563
2020-03-05,765711.5918628813,204056.0,969767.5918628813
2020-03-06,765711.5918628813,201378.791015625,967090.3828785063
2020-03-09,960733.4494628813,0.0,960733.4494628813
2020-03-11,960733.4494628813,0.0,960733.4494628813
2020-03-12,960733.4494628813,0.0,960733.4494628813
2020-03-13,960733.4494628813,0.0,960733.4494628813
2020-03-16,960733.4494628813,0.0,960733.4494628813
2020-03-17,960733.4494628813,0.0,960733.4494628813
2020-03-18,960733.4494628813,0.0,960733.4494628813
2020-03-19,960733.4494628813,0.0,960733.4494628813
2020-03-20,960733.4494628813,0.0,960733.4494628813
2020-03-23,960733.4494628813,0.0,960733.4494628813
2020-03-24,960733.4494628813,0.0,960733.4494628813
2020-03-25,960733.4494628813,0.0,960733.4494628813
2020-03-26,960733.4494628813,0.0,960733.4494628813
2020-03-27,960733.4494628813,0.0,960733.4494628813
2020-03-30,960733.4494628813,0.0,960733.4494628813
2020-03-31,960733.4494628813,0.0,960733.4494628813
2020-04-01,960733.4494628813,0.0,960733.4494628813
2020-04-03,960733.4494628813,0.0,960733.4494628813
2020-04-07,960733.4494628813,0.0,960733.4494628813
2020-04-08,960733.4494628813,0.0,960733.4494628813
2020-04-09,960733.4494628813,0.0,960733.4494628813
2020-04-13,960733.4494628813,0.0,960733.4494628813
2020-04-15,960733.4494628813,0.0,960733.4494628813
2020-04-16,960733.4494628813,0.0,960733.4494628813
2020-04-17,960733.4494628813,0.0,960733.4494628813
2020-04-20,960733.4494628813,0.0,960733.4494628813
2020-04-21,960733.4494628813,0.0,960733.4494628813
2020-04-22,960733.4494628813,0.0,960733.4494628813
2020-04-23,960733.4494628813,0.0,960733.4494628813
2020-04-24,960733.4494628813,0.0,960733.4494628813
2020-04-27,960733.4494628813,0.0,960733.4494628813
2020-04-28,960733.4494628813,0.0,960733.4494628813
2020-04-29,960733.4494628813,0.0,960733.4494628813
2020-04-30,960733.4494628813,0.0,960733.4494628813
2020-05-04,960733.4494628813,0.0,960733.4494628813
2020-05-05,960733.4494628813,0.0,960733.4494628813
2020-05-06,960733.4494628813,0.0,960733.4494628813
2020-05-07,960733.4494628813,0.0,960733.4494628813
2020-05-08,960733.4494628813,0.0,960733.4494628813
2020-05-11,960733.4494628813,0.0,960733.4494628813
2020-05-12,960733.4494628813,0.0,960733.4494628813
2020-05-13,960733.4494628813,0.0,960733.4494628813
2020-05-14,960733.4494628813,0.0,960733.4494628813
2020-05-15,960733.4494628813,0.0,960733.4494628813
2020-05-18,960733.4494628813,0.0,960733.4494628813
2020-05-19,960733.4494628813,0.0,960733.4494628813
2020-05-20,960733.4494628813,0.0,960733.4494628813
2020-05-21,960733.4494628813,0.0,960733.4494628813
2020-05-22,960733.4494628813,0.0,960733.4494628813
2020-05-26,960733.4494628813,0.0,960733.4494628813
2020-05-27,960733.4494628813,0.0,960733.4494628813
2020-05-28,960733.4494628813,0.0,960733.4494628813
2020-05-29,452607.767449063,526545.8039855957,979153.5714346587
2020-06-01,452607.767449063,532429.7593688965,985037.5268179595
2020-06-02,452607.767449063,536373.4555053711,988981.2229544341
2020-06-03,452607.767449063,541049.6470336914,993657.4144827544
2020-06-04,452607.767449063,538277.5084228516,990885.2758719146
2020-06-05,452607.767449063,547879.4444885254,1000487.2119375884
2020-06-08,452607.767449063,543683.6999816895,996291.4674307525
2020-06-09,452607.767449063,547073.7459106445,999681.5133597075
2020-06-10,452607.767449063,540144.5420227051,992752.3094717681
2020-06-11,452607.767449063,530174.0482788086,982781.8157278716
2020-06-12,552216.569803716,439007.6018676758,991224.1716713918
2020-06-15,456169.793803716,540412.2403564453,996582.0341601614
2020-06-16,456169.793803716,539403.797668457,995573.5914721731
2020-06-17,456169.793803716,534840.9971923828,991010.7909960989
2020-06-18,456169.793803716,538922.6961975098,995092.4900012258
2020-06-19,456169.793803716,543896.203704834,1000065.9975085501
2020-06-22,456169.793803716,547064.8065490723,1003234.6003527883
2020-06-23,456169.793803716,558533.9613952637,1014703.7551989798
2020-06-24,456169.793803716,559596.5462646484,1015766.3400683645
2020-06-25,456169.793803716,556391.9928894043,1012561.7866931204
2020-06-26,901872.2469003957,105293.99871826172,1007166.2456186574
2020-06-29,736263.2627738821,277062.25256347656,1013325.5153373587
2020-06-30,600826.4999738822,417816.7772216797,1018643.2771955619
2020-07-01,600826.4999738822,416852.50506591797,1017679.0050398002
2020-07-02,600826.4999738822,429691.50006103516,1030518.0000349174
2020-07-03,246647.38317388223,803648.7619018555,1050296.1450757377
2020-07-06,246647.38317388223,824277.6898193359,1070925.0729932182
2020-07-07,246647.38317388223,828768.6271362305,1075416.0103101127
2020-07-08,246647.38317388223,816334.0622558594,1062981.4454297416
2020-07-09,246647.38317388223,818735.4756469727,1065382.858820855
2020-07-10,246647.38317388223,816207.8955688477,1062855.27874273
2020-07-13,363282.49525103066,700247.8693237305,1063530.3645747611
2020-07-14,175155.4360523002,874340.3434448242,1049495.7794971245
2020-07-15,175155.4360523002,885671.7390136719,1060827.1750659721
2020-07-16,175155.4360523002,909445.6518554688,1084601.087907769
2020-07-17,175155.4360523002,918571.4204101562,1093726.8564624565
2020-07-20,175155.4360523002,937428.9840698242,1112584.4201221245
2020-07-21,175155.4360523002,946021.3094482422,1121176.7455005425
2020-07-22,175155.4360523002,934033.4531860352,1109188.8892383354
2020-07-23,175155.4360523002,935807.0651855469,1110962.5012378471
2020-07-24,175155.4360523002,943408.2241821289,1118563.6602344292
2020-07-27,553134.2812182796,570089.5454101562,1123223.8266284359
2020-07-28,351393.134341766,798867.5469360352,1150260.6812778013
2020-07-29,153507.95274176603,994183.3557128906,1147691.3084546567
2020-07-30,153507.95274176603,994263.8079223633,1147771.7606641294
2020-07-31,376906.2814191098,769046.9395141602,1145953.22093327
2020-08-03,197289.4528191098,939007.4921264648,1136296.9449455747
2020-08-04,397426.6275702708,733019.6692504883,1130446.296820759
2020-08-05,238004.73981430157,901794.9925231934,1139799.7323374948
2020-08-06,238004.73981430157,912682.8547363281,1150687.5945506296
2020-08-07,238004.73981430157,906641.8521881104,1144646.5920024118
2020-08-10,238004.73981430157,920155.6848297119,1158160.4246440134
2020-08-11,238004.73981430157,921435.5394897461,1159440.2793040476
2020-08-12,238004.73981430157,934958.8354492188,1172963.5752635202
2020-08-13,238004.73981430157,937909.5433044434,1175914.2831187448
2020-08-14,238004.73981430157,940356.9010925293,1178361.6409068308
2020-08-17,238004.73981430157,952677.5415344238,1190682.2813487253
2020-08-18,238004.73981430157,960894.3054504395,1198899.045264741
2020-08-19,238004.73981430157,965675.4517822266,1203680.191596528
2020-08-20,238004.73981430157,964690.291595459,1202695.0314097605
2020-08-21,238004.73981430157,970443.5268859863,1208448.2667002878
2020-08-24,238004.73981430157,971001.1123046875,1209005.852118989
2020-08-25,606585.8263643016,600892.8420715332,1207478.6684358348
2020-08-26,418112.1796678173,795243.7667541504,1213355.9464219678
2020-08-27,270267.99886781734,964108.8479003906,1234376.8467682078
2020-08-28,270267.99886781734,976087.9617919922,1246355.9606598094
2020-08-31,647611.7302159665,562801.9992370605,1210413.729453027
2020-09-01,647611.7302159665,569755.3153076172,1217367.0455235837
2020-09-02,647611.7302159665,579220.8449401855,1226832.575156152
2020-09-03,453584.6326159665,770267.3534545898,1223851.9860705563
2020-09-04,247100.368264404,964766.0469970703,1211866.4152614744
2020-09-07,247100.368264404,966528.3385314941,1213628.7067958983
2020-09-08,247100.368264404,954933.5150146484,1202033.8832790526
2020-09-09,247100.368264404,947487.0617980957,1194587.4300624998
2020-09-10,404741.92980184767,792525.208190918,1197267.1379927658
2020-09-11,207113.893939543,1008614.8780517578,1215728.7719913009
2020-09-14,404099.5071503259,804003.0950927734,1208102.6022430994
2020-09-15,231121.23515032596,990594.2034301758,1221715.4385805018
2020-09-16,231121.23515032596,991415.8497924805,1222537.0849428065
2020-09-17,231121.23515032596,989794.8289794922,1220916.0641298182
2020-09-18,231121.23515032596,988220.1231079102,1219341.3582582362
2020-09-21,588999.0047713583,596315.3935546875,1185314.3983260458
2020-09-22,792055.2207541708,390479.2932128906,1182534.5139670614
2020-09-23,792055.2207541708,390655.89794921875,1182711.1187033895
2020-09-24,792055.2207541708,380183.7980957031,1172239.018849874
2020-09-25,792055.2207541708,391178.8996582031,1183234.120412374
2020-09-28,792055.2207541708,394246.6062011719,1186301.8269553427
2020-09-29,792055.2207541708,391631.68115234375,1183686.9019065145
2020-09-30,590068.7607541708,594971.5329589844,1185040.2937131552
2020-10-01,590068.7607541708,594731.3425292969,1184800.1032834677
2020-10-05,434728.1549908896,750127.9143066406,1184856.0692975302
2020-10-06,238070.95499088964,956710.4201660156,1194781.3751569053
2020-10-07,238070.95499088964,969072.3459472656,1207143.3009381553
2020-10-08,238070.95499088964,984315.0808105469,1222386.0358014365
2020-10-09,238070.95499088964,982177.6579589844,1220248.612949874
2020-10-12,440259.12085260835,780905.2336425781,1221164.3544951864
2020-10-13,203116.55845260838,1034171.3395996094,1237287.8980522177
2020-10-14,409535.693762374,824028.7780761719,1233564.471838546
2020-10-15,409535.693762374,810218.1491699219,1219753.842932296
2020-10-16,409535.693762374,822754.3227539062,1232290.0165162804
2020-10-19,237413.10576237403,997239.9495849609,1234653.055347335
2020-10-20,237413.10576237403,1004931.8787841797,1242344.9845465538
2020-10-21,237413.10576237403,1004121.8793945312,1241534.9851569054
2020-10-22,437550.367762374,794621.8625488281,1232172.2303112021
2020-10-23,262322.297362374,969611.3843383789,1231933.681700753
2020-10-26,262322.297362374,953988.9331359863,1216311.2304983605
2020-10-27,262322.297362374,950481.3929748535,1212803.6903372277
2020-10-28,262322.297362374,943455.3891601562,1205777.6865225304
2020-10-29,486834.1425573878,712356.9165344238,1199191.0590918115
2020-10-30,255315.07535738786,953912.3754882812,1209227.450845669
