Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI14,ATR14,Prev20High,AvgVolume20,TrendPass,BreakoutPass,RSIPass,VolumePass,ConfirmationScore,BreakoutStrength
2021-01-29,24.899999618530277,25.799999237060547,24.350000381469727,24.799999237060547,381938573,24.799999237060547,24.799999237060547,,1.4499988555908203,,,False,False,False,False,0,
2021-02-01,25.25,25.399999618530277,24.899999618530277,25.100000381469727,72044464,24.828570774623326,24.811763987821692,,1.3892846788678852,,,True,False,False,False,0,
2021-02-02,25.450000762939453,25.450000762939453,24.700000762939453,24.75,36735442,24.82108784370682,24.80934187065221,91.76472647372447,1.3436214875201793,,,True,False,True,False,1,
2021-02-03,24.799999237060547,24.899999618530277,24.049999237060547,24.25,45816269,24.76669852525855,24.787406895332516,81.44583429032394,1.3083628370880043,,,False,False,True,False,1,
2021-02-04,24.25,25.799999237060547,23.850000381469727,25.350000381469727,88486029,24.82225108299295,24.809469384984958,85.34910711748643,1.354193981266777,,,True,False,True,False,1,
2021-02-05,25.600000381469727,26.200000762939453,25.549999237060547,25.700000762939453,56318695,24.905846290606902,24.84439218412043,86.33421210594067,1.3181801527098447,,,True,False,True,False,1,
2021-02-08,25.899999618530277,25.950000762939453,25.600000381469727,25.75,28324374,24.986241881977673,24.879906216115707,86.47412678499443,1.249024454764122,,,True,False,True,False,1,
2021-02-09,25.75,25.799999237060547,25.200000762939453,25.299999237060547,25243532,25.01612353484271,24.896380452231192,78.66758025429638,1.202665456146763,,,True,False,True,False,1,
2021-02-10,25.399999618530277,25.799999237060547,25.0,25.399999618530277,33132159,25.052683161860575,24.91613022345861,79.11871174752059,1.1739035833548903,,,True,False,True,False,1,
2021-02-11,25.399999618530277,25.649999618530277,25.25,25.399999618530277,13586295,25.08576091963864,24.935105493853577,79.11871174752059,1.1186247287245608,,,True,False,True,False,1,
2021-02-12,25.5,25.549999237060547,25.299999237060547,25.399999618530277,15658220,25.115688414771178,24.95333663599776,79.11871174752059,1.056580105244235,,,True,False,True,False,1,
2021-02-15,26.200000762939453,26.200000762939453,25.649999618530277,25.75,45629832,25.176099041935828,24.984578336546868,80.8857322995771,1.0382530366131593,,,True,False,True,False,1,
2021-02-16,25.899999618530277,26.0,25.799999237060547,25.899999618530277,34557518,25.24504195399244,25.02047721035014,81.60420328469237,0.9819492482836479,,,True,False,True,False,1,
2021-02-17,25.299999237060547,25.600000381469727,24.899999618530277,25.299999237060547,28638408,25.250275980951308,25.031438858456433,70.23226937364147,0.9832385876919588,,,True,False,True,False,1,
2021-02-18,25.450000762939453,25.799999237060547,25.399999618530277,25.649999618530277,21022422,25.28834489881597,25.05569614316521,72.62846680030165,0.9487215457139617,,,True,False,True,False,1,
2021-02-19,25.649999618530277,25.700000762939453,25.200000762939453,25.350000381469727,14542153,25.294216849544902,25.06723748584382,67.6051241725417,0.916670006734393,,,True,False,True,False,1,
2021-02-22,25.299999237060547,25.399999618530277,24.950000762939453,25.0,16652770,25.266196197207293,25.064600721693083,62.19995780484896,0.8833363530812809,,,True,False,True,False,1,
2021-02-23,25.0,25.149999618530277,24.899999618530277,24.950000762939453,13021961,25.23608234632464,25.060106605663528,61.44418754131728,0.8380980421469038,,,True,False,True,False,1,
2021-02-24,24.899999618530277,25.200000762939453,24.850000381469727,24.899999618530277,10958830,25.204074467487082,25.053827900285754,60.650525646311884,0.8032339235271053,,,True,False,True,False,1,
2021-02-25,24.950000762939453,25.200000762939453,24.899999618530277,24.950000762939453,22761296,25.17987697181588,25.0497562478408,61.190382684035306,0.7672887250186818,,,True,False,True,False,1,
2021-02-26,24.850000381469727,24.950000762939453,24.5,24.649999618530277,36424500,25.129412461979154,25.034079517279604,56.207699300658874,0.7446252991558798,26.200000762939453,50253462.1,True,False,True,False,1,-0.059160347300512006
2021-03-01,24.649999618530277,26.700000762939453,24.649999618530277,25.899999618530277,93579588,25.202801714984023,25.068037168309043,67.92679829138345,0.8378664309596867,26.200000762939453,32977758.45,True,False,True,True,2,-0.011450425025694488
2021-03-02,26.100000381469727,26.299999237060547,25.450000762939453,25.649999618530277,48494934,25.245391991512236,25.090859225180463,64.22497983645133,0.8387330054712158,26.700000762939453,34054514.65,True,False,True,True,2,-0.039325884434678215
2021-03-03,25.799999237060547,25.950000762939453,25.450000762939453,25.5,18806435,25.269640373272974,25.106903961447895,62.040324832817426,0.8145377907947003,26.700000762939453,34642489.25,True,False,True,False,1,-0.04494384751498193
2021-03-04,25.25,25.700000762939453,25.25,25.399999618530277,21742960,25.282055539487956,25.11839790878446,60.561317300275704,0.7884994316621827,26.700000762939453,33291997.55,True,False,True,False,1,-0.048689180047276404
2021-03-05,25.399999618530277,25.549999237060547,24.799999237060547,24.950000762939453,25255199,25.250431275054765,25.11179409914348,54.289329088297244,0.7857494722577412,26.700000762939453,29954844.1,True,False,True,False,1,-0.06554306928818754
2021-03-08,25.100000381469727,25.25,24.799999237060547,24.850000381469727,16353985,25.21229499947524,25.10152767884255,52.97632322864829,0.7617674215921492,26.700000762939453,28401669.3,True,False,True,False,1,-0.06928840182048202
2021-03-09,24.950000762939453,25.5,24.799999237060547,24.950000762939453,21380757,25.18731459599564,25.095585446846354,54.16999996661347,0.7573555174026709,26.700000762939453,27803149.85,True,False,True,False,1,-0.06554306928818754
2021-03-10,25.0,25.100000381469727,24.850000381469727,24.850000381469727,11360743,25.15518943270746,25.08595465996884,52.72854648927098,0.7211158375881945,26.700000762939453,27610011.1,True,False,True,False,1,-0.06928840182048202
2021-03-12,24.899999618530277,25.049999237060547,24.799999237060547,24.850000381469727,17086939,25.126123808780058,25.076701551008092,52.72854648927098,0.6874647063318949,26.700000762939453,26521440.3,True,False,True,False,1,-0.06928840182048202
2021-03-15,24.899999618530277,24.950000762939453,24.5,24.649999618530277,17382950,25.080778647803886,25.059968141891314,49.66322469734296,0.6705029960895776,26.700000762939453,26696472.5,True,False,False,False,0,-0.07677906688507108
2021-03-16,24.649999618530277,24.799999237060547,24.5,24.549999237060547,9649363,25.030228227733094,25.039969361309716,48.155806945532476,0.6440384418732182,26.700000762939453,26782709.0,False,False,False,False,0,-0.08052439941736578
2021-03-17,24.549999237060547,24.600000381469727,24.100000381469727,24.149999618530277,14312130,24.94639693161854,25.00506858708307,42.58749667604226,0.633749981739417,26.700000762939453,24983685.55,False,False,False,False,0,-0.09550565811026746
2021-03-18,24.200000762939453,24.600000381469727,23.899999618530277,24.049999237060547,16168159,24.861025722613014,24.96761488708219,41.30170817241502,0.6384821803965622,26.700000762939453,23971416.15,False,False,False,False,0,-0.09925099064256215
2021-03-19,24.0,24.100000381469727,23.5,23.950000762939453,15260549,24.77426144073934,24.927708450841298,40.00113108908699,0.6357334804732169,26.700000762939453,23347903.7,False,False,False,False,0,-0.1029962517385804
2021-03-22,24.0,24.5,23.850000381469727,23.899999618530277,13817385,24.690998410052764,24.887406143691848,39.334156663910335,0.6367524903344353,26.700000762939453,23059810.05,False,False,False,False,0,-0.10486895372286564
2021-03-23,23.899999618530277,24.100000381469727,23.75,23.799999237060547,13742805,24.606141345958267,24.84476273558866,37.970546731977144,0.6162701968440989,26.700000762939453,23023571.65,False,False,False,False,0,-0.10861428625516034
2021-03-24,23.799999237060547,23.899999618530277,23.399999618530277,23.450000762939453,16788250,24.496032719004095,24.79006618764163,33.58239929198085,0.6079651827838061,26.700000762939453,22878073.4,False,False,False,False,0,-0.12172284296377678
2021-03-25,23.450000762939453,23.549999237060547,22.899999618530277,22.950000762939453,19233029,24.348791580331273,24.71790675922194,28.512907713849387,0.6109676424799821,26.700000762939453,23066387.85,False,False,False,False,0,-0.14044943418897327
2021-03-26,23.200000762939453,23.299999237060547,22.899999618530277,23.049999237060547,16323314,24.225097071448346,24.652498621097966,30.763997020639508,0.5958984979121456,26.700000762939453,23480097.8,False,False,False,False,0,-0.13670417309295502
