Symbol,Date,Signal,RSI14,BreakoutStrength,ConfirmationScore
360ONE,2026-09-17,False,32.979986789111734,-0.13214487886151294,0
3MINDIA,2026-09-17,False,40.170252617669554,-0.07820912439784644,0
AADHARHFC,2026-09-17,False,46.21569883461589,-0.03821720060754996,0
AARTIIND,2026-09-17,False,37.84750672844479,-0.13620297942271753,0
AAVAS,2026-09-17,False,42.86157917240288,-0.08246322435732312,0
ABB,2026-09-17,False,39.22980406079913,-0.0738407585400701,1
ABBOTINDIA,2026-09-17,False,43.733837507135235,-0.036802973977695164,0
ABCAPITAL,2026-09-17,False,43.836240928353114,-0.06351305422433773,1
ABFRL,2026-09-17,False,37.707506851972674,-0.08737333797059221,0
ABLBL,2026-09-17,False,32.909362467631965,-0.06203046790782829,1
ABREL,2026-09-17,False,33.337912702476956,-0.15383578437815448,0
ABSLAMC,2026-09-17,False,56.95003106658512,-0.02399502931534503,1
ACC,2026-09-17,False,31.48505170887671,-0.07891785181424626,0
ACE,2026-09-17,True,67.04163914360299,0.008026735439746968,2
ACMESOLAR,2026-09-17,False,57.56227790948511,-0.04459933149136164,1
ADANIENSOL,2026-09-17,False,38.41026604483818,-0.15284053217585525,0
ADANIENT,2026-09-17,False,42.672103993231445,-0.07892995678671644,0
ADANIGREEN,2026-09-17,False,43.312675691671835,-0.05390562446104796,0
ADANIPORTS,2026-09-17,False,53.39378677401605,-0.029641607046034135,1
ADANIPOWER,2026-09-17,False,47.43003901085882,-0.052805869594482746,0
AEGISLOG,2026-09-17,False,54.75284472838434,-0.06570044939397857,1
AEGISVOPAK,2026-09-17,False,67.874782198329,-0.000964590974176005,2
AFCONS,2026-09-17,False,43.78643102082652,-0.12231161219196085,1
AFFLE,2026-09-17,False,42.27602671372371,-0.11589061963428626,0
AGARWALEYE,2026-09-17,False,45.08266102522745,-0.05417926353602942,0
AIAENG,2026-09-17,False,35.809125361383465,-0.12178665861153637,1
AIIL,2026-09-17,False,46.42232049882582,-0.089464573044851,0
AJANTPHARM,2026-09-17,False,47.12682945547671,-0.07784510010537404,1
AKUMS,2026-09-17,False,55.95341566332778,-0.03747407701134231,1
ALKEM,2026-09-17,False,53.103715746448394,-0.02931034482758621,2
ALKYLAMINE,2026-09-17,False,41.394013898591865,-0.12822692726802598,0
ALOKINDS,2026-09-17,False,14.046918467890933,-0.39999998376724566,1
AMBER,2026-09-17,False,38.874617116384286,-0.09597125994354627,0
AMBUJACEM,2026-09-17,False,28.33251825779945,-0.09354302018649807,0
ANANDRATHI,2026-09-17,False,57.77900971529507,-0.015432692977810025,1
ANANTRAJ,2026-09-17,False,45.852369268534034,-0.08027731215090528,0
ANGELONE,2026-09-17,False,48.149119134840085,-0.048387096774193505,0
APARINDS,2026-09-17,False,58.270563068039316,-0.018255018751378804,2
APLAPOLLO,2026-09-17,False,53.12793335744513,-0.058088557650153416,1
APLLTD,2026-09-17,False,53.19896060487738,-0.038416763678696175,2
APOLLOHOSP,2026-09-17,False,48.77441676907482,-0.028313386524822737,0
APOLLOTYRE,2026-09-17,False,38.07085771641182,-0.11820710466726336,1
APTUS,2026-09-17,False,30.497325122709682,-0.08703614497131562,0
ARE&M,2026-09-17,False,24.061757389067267,-0.15195137753772148,1
ASAHIINDIA,2026-09-17,False,51.874680595988906,-0.04452260079695347,1
ASHOKLEY,2026-09-17,False,34.32389625913409,-0.12769468592353195,0
ASIANPAINT,2026-09-17,False,34.18284806263057,-0.08388395687003825,0
ASTERDM,2026-09-17,False,43.97652178596066,-0.08904188692926651,0
ASTRAL,2026-09-17,False,35.010546104231096,-0.11518025021248424,0
ASTRAZEN,2026-09-17,False,17.414016201345902,-0.1405374057606804,0
ATGL,2026-09-17,False,26.439811589586455,-0.14667832654898771,0
ATHERENERG,2026-09-17,False,50.54032811219223,-0.11123853211009171,1
ATUL,2026-09-17,False,35.829791595617294,-0.09408463185879923,0
AUBANK,2026-09-17,False,41.0982495818931,-0.09160032251914041,0
AUROPHARMA,2026-09-17,False,57.46984188316269,-0.015725101921956863,2
AWL,2026-09-17,False,39.327816865604326,-0.10145500095209115,0
AXISBANK,2026-09-17,False,46.76309641534244,-0.0461538461538461,0
BAJAJ-AUTO,2026-09-17,False,44.51490546244545,-0.07778668805132316,0
BAJAJFINSV,2026-09-17,False,33.212573573346305,-0.08526447666820414,0
BAJAJHFL,2026-09-17,False,39.594335515276065,-0.047454535372771334,0
BAJAJHLDNG,2026-09-17,False,45.53135841301201,-0.05444864307798003,0
BAJFINANCE,2026-09-17,False,35.13401757715137,-0.08310749774164405,1
BALKRISIND,2026-09-17,False,38.056002623005625,-0.09346030222214252,0
BALRAMCHIN,2026-09-17,False,50.321921142151034,-0.13477175024628596,1
BANDHANBNK,2026-09-17,False,47.80368145583432,-0.051123189179683615,0
BANKBARODA,2026-09-17,False,36.74077696159279,-0.06008493308296947,0
BANKINDIA,2026-09-17,False,38.73853107986617,-0.06578766821551807,1
BASF,2026-09-17,False,36.89694296695131,-0.09370908463607197,1
BATAINDIA,2026-09-17,False,29.32353497123526,-0.12409706844821988,0
BAYERCROP,2026-09-17,False,29.440584056935734,-0.05616838133070867,1
BBTC,2026-09-17,False,37.6699843808936,-0.14618668431112725,0
BDL,2026-09-17,False,28.923401259533023,-0.17821212489090132,0
BEL,2026-09-17,False,43.29912164033365,-0.04939900911771322,0
BEML,2026-09-17,False,54.72973501460205,-0.08693875336592971,1
BERGEPAINT,2026-09-17,False,23.182408435264108,-0.1761248740063992,1
BHARATFORG,2026-09-17,False,38.276845474204045,-0.08846024030147293,0
BHARTIARTL,2026-09-17,False,42.01365272796721,-0.06082153712678995,0
BHARTIHEXA,2026-09-17,False,38.50257247047523,-0.09212948791152997,1
BHEL,2026-09-17,False,53.726294609705754,-0.030385139218139012,2
BIKAJI,2026-09-17,False,28.951818298061355,-0.13091680579303178,0
BIOCON,2026-09-17,False,30.427680623625392,-0.09867173980377397,1
BLS,2026-09-17,False,33.20992510900243,-0.18704935537692802,0
BLUEDART,2026-09-17,False,35.93078217159341,-0.06748719746341703,0
BLUEJET,2026-09-17,False,45.61390393144558,-0.076997994247466,1
BLUESTARCO,2026-09-17,False,54.52051246227332,-0.007731119912264717,2
BOSCHLTD,2026-09-17,False,53.74089851550547,-0.04530000000000001,1
BPCL,2026-09-17,False,45.46500912198386,-0.05929218857553187,0
BRIGADE,2026-09-17,False,47.16921210678864,-0.15523806202168366,0
BRITANNIA,2026-09-17,False,32.5084121616668,-0.10315031503150318,1
BSE,2026-09-17,False,42.84555460451029,-0.06188831318364996,0
BSOFT,2026-09-17,False,43.23746489645129,-0.09617838282494029,0
CAMPUS,2026-09-17,False,34.79439331804285,-0.09130659792187967,0
CAMS,2026-09-17,False,38.5292413485458,-0.0908570828952705,1
CANBK,2026-09-17,False,41.45996084695766,-0.05729279136823617,0
CANFINHOME,2026-09-17,False,35.31182444701288,-0.09145298692393256,0
CAPLIPOINT,2026-09-17,False,47.24673549631081,-0.09755671859325177,0
CARBORUNIV,2026-09-17,False,48.153839199098,-0.10223697134553644,1
