Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI14,ATR14,Prev20High,AvgVolume20,TrendPass,BreakoutPass,RSIPass,VolumePass,ConfirmationScore,BreakoutStrength
2023-06-09,3090.0,3149.949951171875,2950.0,3070.14990234375,7308,3070.14990234375,3070.14990234375,,199.949951171875,,,False,False,False,False,0,
2023-06-12,3132.0,3684.14990234375,3129.949951171875,3684.14990234375,28360,3128.626092819941,3094.228333716299,,229.52495465959822,,,True,False,False,False,0,
2023-06-13,3768.0,3975.0,3550.0,3655.64990234375,44403,3178.8188365841133,3116.244865819336,99.64421696523313,243.48745789819836,,,True,False,True,False,1,
2023-06-14,3787.949951171875,3787.949951171875,3450.0,3491.449951171875,8669,3208.5932284496143,3130.9587907351224,97.49209206574308,250.23477884631814,,,True,False,True,False,1,
2023-06-15,3525.0,3840.550048828125,3484.050048828125,3726.949951171875,56911,3257.960535375544,3154.3309931051913,97.57305349174729,257.82515178586686,,,True,False,True,False,1,
2023-06-16,3750.0,3784.800048828125,3672.0,3737.25,9569,3303.6071510540637,3177.190562003027,97.57673817326497,247.4662158603139,,,True,False,True,False,1,
2023-06-19,3783.0,4050.0,3750.0,4032.35009765625,21915,3373.011241206653,3210.7262300678594,97.68517401466725,252.12934329886292,,,True,False,True,False,1,
2023-06-20,4048.0,4297.64990234375,3955.0,4212.2001953125,17679,3452.9339987405433,3249.9997189009823,97.75121986219155,258.5950975163549,,,True,False,True,False,1,
2023-06-21,4250.0,4633.39990234375,4232.14990234375,4454.10009765625,52319,3548.28315101823,3297.2193415972674,97.84046747658309,270.2097124817045,,,True,False,True,False,1,
2023-06-22,4490.0,4674.2998046875,4335.0,4527.25,21867,3641.518089016494,3345.4558380052176,97.86802213626227,275.1447190678328,,,True,False,True,False,1,
2023-06-23,4527.25,4600.0,4352.7001953125,4518.85009765625,9082,3725.073518410756,3391.4712991680035,97.7138391159169,273.1557966120947,,,True,False,True,False,1,
2023-06-26,4552.0,4650.0,4333.2998046875,4602.2001953125,14958,3808.6093924013985,3438.95086372269,97.7516893538345,276.2661108049808,,,True,False,True,False,1,
2023-06-27,4586.0,4640.2001953125,4552.0,4592.85009765625,2561,3883.2989833780507,3484.201814073026,97.55656429891356,262.8328311269465,,,True,False,True,False,1,
2023-06-28,4560.0,4626.4501953125,4480.0,4598.75,4926,3951.4371754372837,3527.9095860701627,97.55987419488358,254.51978571162888,,,True,False,True,False,1,
2023-06-30,4700.0,4700.0,4551.0,4602.14990234375,4133,4013.409816095042,3570.0366572965777,97.56192378496058,246.98265816079825,,,True,False,True,False,1,
2023-07-03,4585.0498046875,4586.0498046875,4491.0,4519.5,2726,4061.6088812288476,3607.270513873182,95.46274562943354,237.2803184595805,,,True,False,True,False,1,
2023-07-04,4485.0,4500.0,4311.35009765625,4350.75,4928,4089.1461306356236,3636.4265721526654,91.15039924023384,235.19957445130692,,,True,False,True,False,1,
2023-07-05,4280.0,4313.9501953125,4133.25,4140.75,6327,4094.060784860802,3656.203961480012,85.94718655216636,233.93531913335642,,,True,False,True,False,1,
2023-07-06,4304.89990234375,4304.89990234375,3935.050048828125,3949.5,10074,4080.2930910645355,3667.7057669121687,81.39045630976685,243.64350016066132,,,True,False,True,False,1,
2023-07-07,3930.0,3979.89990234375,3850.0,3870.75,5507,4060.3366062012465,3675.6682858567897,79.52090760125145,235.51895745945336,,,True,False,True,False,1,
2023-07-10,3860.0,4064.25,3755.0,4064.25,4942,4060.709310372556,3690.906784450641,80.69435265889123,240.78546049806386,4700.0,16711.1,True,False,True,False,1,-0.13526595744680847
2023-07-11,4240.0,4267.4501953125,4127.5498046875,4166.5498046875,7093,4070.78935745017,3709.5594519109104,81.30427274629011,238.10079869909504,4700.0,16592.8,True,False,True,False,1,-0.11350004155585103
2023-07-12,4170.0,4304.0,4102.7001953125,4234.0498046875,3690,4086.3379714727726,3730.127701039404,81.71476296627169,235.4721562696954,4700.0,15529.45,True,False,True,False,1,-0.0991383394281915
2023-07-13,4318.75,4318.75,4100.0,4142.5498046875,2442,4091.6914793979845,3746.3011168687412,79.17694087521177,234.27771653614573,4700.0,13493.8,True,False,True,False,1,-0.11860642453457448
