Symbol,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct,HoldingSessions,ExitReason
JSWSTEEL,2020-02-13,2020-02-24,288.88091389160155,270.4873903567541,563,-10355.553750119114,-0.06367164686327931,6,Stop/Trailing Stop
DRREDDY,2020-02-14,2020-02-25,645.065627783203,615.2975966955737,313,-9317.393730427983,-0.046147290764706396,6,Stop/Trailing Stop
ICICIBANK,2020-02-13,2020-02-26,546.2366277832031,522.6105830040294,371,-8765.262613073428,-0.043252399376906385,8,Stop/Trailing Stop
TECHM,2020-02-14,2020-02-28,823.458227783203,794.034542856635,246,-7238.226491935755,-0.03573184884651449,9,Stop/Trailing Stop
HINDUNILVR,2020-02-13,2020-03-09,2158.8257777343747,2119.8028,92,-3590.1139515624964,-0.018076019907140653,16,RSI Exit
M&M,2020-05-29,2020-06-12,429.8436,461.15186275302307,216,6762.5847546529985,0.07283640550428841,10,Stop/Trailing Stop
HEROMOTOCO,2020-05-29,2020-06-26,2199.3581777343747,2538.4175912109376,42,14240.495366015646,0.15416289029640382,20,Max Holding
BRITANNIA,2020-05-29,2020-06-26,3220.0739999999996,3453.634782421875,40,9342.431296875002,0.0725327375774206,20,Max Holding
ADANIPORTS,2020-05-29,2020-06-26,329.7636,342.9254521972656,343,4514.515303662105,0.0399129928144453,20,Max Holding
INDUSTOWER,2020-05-29,2020-06-26,214.27128610839839,220.42352609863278,378,2325.5467163085996,0.028712386535646284,20,Max Holding
M&M,2020-06-15,2020-07-13,457.3656,555.4052956054687,210,20588.33607714843,0.21435738849941646,20,Max Holding
INFY,2020-06-29,2020-07-27,710.7681722167968,947.6912521972656,233,55203.07763544924,0.3333338340707287,20,Max Holding
HEROMOTOCO,2020-07-03,2020-07-27,2552.04,2709.7721276554566,58,9148.463404016482,0.061806291302431225,16,Stop/Trailing Stop
HDFCBANK,2020-06-30,2020-07-28,518.9147999999999,542.8903521972657,261,6257.619123486365,0.046203253785141174,20,Max Holding
TCS,2020-07-03,2020-07-31,2103.6816,2279.574782421875,98,17237.531877343776,0.08361207438515186,20,Max Holding
RELIANCE,2020-07-14,2020-08-04,879.098407470703,935.2204427624346,214,12010.115552430536,0.06384044700206308,15,Stop/Trailing Stop
HCLTECH,2020-07-28,2020-08-25,684.5472,701.0386956054688,251,4139.365396972687,0.02409110081155671,20,Max Holding
TECHM,2020-07-28,2020-08-25,657.5255999999999,738.0090956054687,261,21006.19235302735,0.12240359250722524,20,Max Holding
ULTRACEMCO,2020-07-29,2020-08-26,3880.1015999999995,4076.3861824218748,51,10010.513703515637,0.05058748524056052,20,Max Holding
SUNPHARMA,2020-08-03,2020-08-31,514.6614,519.8338,349,1805.1676000000152,0.010050102844316757,20,Max Holding
JSWSTEEL,2020-08-05,2020-08-31,221.7272430541992,272.4919821253813,719,36499.847392179945,0.22895129336350042,18,Stop/Trailing Stop
TMPV,2020-08-27,2020-09-10,130.6044,139.25932998007391,1132,9797.380737443658,0.06626828789898276,10,Stop/Trailing Stop
ICICIBANK,2020-08-26,2020-09-14,382.806,360.1199510251974,547,-12409.268789217022,-0.059262521942714065,13,Stop/Trailing Stop
BAJFINANCE,2020-08-26,2020-09-21,352.782,332.7486026367187,530,-10617.700602539087,-0.05678690342274067,18,RSI Exit
JSWSTEEL,2020-09-03,2020-09-21,288.7308,270.1205509279336,672,-12506.087376428593,-0.06445536490068382,12,Stop/Trailing Stop
TITAN,2020-09-04,2020-09-22,1122.1970888671874,1103.5663912109376,184,-3428.0483687499654,-0.01660198359189895,12,RSI Exit
RELIANCE,2020-09-11,2020-10-12,1008.3063054199218,1031.5722748046874,196,4560.129999414057,0.023074307142288666,20,Max Holding
HCLTECH,2020-09-15,2020-10-14,745.5959999999999,889.7376521972656,232,33440.86330976564,0.19332406852674333,20,Max Holding
HEROMOTOCO,2020-09-30,2020-10-22,3107.484,3079.0348,65,-1849.198000000004,-0.009155059205453692,15,RSI Exit
INFY,2020-10-13,2020-10-29,1123.8983999999998,1064.037181019023,211,-12630.71720498614,-0.05326212670200169,12,Stop/Trailing Stop
GRASIM,2020-10-05,2020-11-02,746.8298354003906,784.1019525390625,208,7752.600364843733,0.04990710784698291,20,Max Holding
TCS,2020-10-06,2020-11-03,2622.0959999999995,2631.493217578125,75,704.7913183594355,0.00358385718071566,20,Max Holding
JSWSTEEL,2020-10-19,2020-11-14,291.73319999999995,341.67645219726563,590,29466.51879638675,0.17119495551848637,20,Max Holding
HDFCLIFE,2020-11-04,2020-11-17,590.8723444335938,638.39132374467,415,19720.376414096652,0.08042173535237572,9,Stop/Trailing Stop
AXISBANK,2020-10-23,2020-11-20,496.3968,592.4578099663203,353,33909.53651811107,0.19351657779889053,20,Stop/Trailing Stop
ICICIBANK,2020-11-04,2020-11-26,425.34,466.01065612107624,379,15414.178669887915,0.09561916612845323,16,Stop/Trailing Stop
ASIANPAINT,2020-10-30,2020-11-27,2163.7295999999997,2213.5278087890624,107,5328.408340429713,0.02301498708020759,20,Max Holding
HDFCLIFE,2020-11-18,2020-12-17,639.2109722167968,654.0263478027343,414,6133.565492578142,0.02317759899295457,20,Max Holding
TATASTEEL,2020-11-18,2020-12-17,50.64047847290038,63.479174780273446,3711,47644.40199666144,0.25352636259634737,20,Max Holding
BAJAJFINSV,2020-11-23,2020-12-21,784.927427783203,873.8811794309079,224,19925.640369085886,0.11332735804497059,19,Stop/Trailing Stop
TMPV,2020-12-01,2020-12-21,174.78971389160154,164.4183630493164,1001,-10381.72219312741,-0.05933616235974317,14,RSI Exit
JSWSTEEL,2020-11-27,2020-12-22,338.77079999999995,346.86561407109116,637,5156.396563285089,0.02389466291395596,16,Stop/Trailing Stop
