valid_from,valid_to,Symbol,source
2020-01-01,2026-04-01,ADANIPORTS,press_release
2020-01-01,2026-04-01,ASIANPAINT,snapshot_floor
2020-01-01,2026-04-01,AXISBANK,snapshot_floor
2020-01-01,2026-04-01,BAJAJ-AUTO,snapshot_floor
2020-01-01,2026-04-01,BAJAJFINSV,press_release
2020-01-01,2026-04-01,BAJFINANCE,press_release
2020-01-01,2026-04-01,BHARTIARTL,snapshot_floor
2020-01-01,2025-03-28,BPCL,snapshot_floor
2020-01-01,2025-03-28,BRITANNIA,press_release
2020-01-01,2026-04-01,CIPLA,snapshot_floor
2020-01-01,2026-04-01,COALINDIA,snapshot_floor
2020-01-01,2026-04-01,DRREDDY,snapshot_floor
2020-01-01,2026-04-01,EICHERMOT,snapshot_floor
2020-01-01,2021-03-31,GAIL,snapshot_floor
2020-01-01,2026-04-01,GRASIM,press_release
2020-01-01,2026-04-01,HCLTECH,snapshot_floor
2020-01-01,2023-07-13,HDFC,snapshot_floor
2020-01-01,2026-04-01,HDFCBANK,snapshot_floor
2020-01-01,2025-09-30,HEROMOTOCO,snapshot_floor
2020-01-01,2026-04-01,HINDALCO,snapshot_floor
2020-01-01,2026-04-01,HINDUNILVR,snapshot_floor
2020-01-01,2026-04-01,ICICIBANK,snapshot_floor
2020-01-01,2025-09-30,INDUSINDBK,snapshot_floor
2020-01-01,2020-09-25,INDUSTOWER,snapshot_floor
2020-01-01,2026-04-01,INFY,snapshot_floor
2020-01-01,2022-03-31,IOC,press_release
2020-01-01,2026-04-01,ITC,snapshot_floor
2020-01-01,2026-04-01,JSWSTEEL,press_release
2020-01-01,2026-04-01,KOTAKBANK,snapshot_floor
2020-01-01,2026-04-01,LT,snapshot_floor
2020-01-01,2026-04-01,M&M,snapshot_floor
2020-01-01,2026-04-01,MARUTI,snapshot_floor
2020-01-01,2026-04-01,NESTLEIND,press_release
2020-01-01,2026-04-01,NTPC,snapshot_floor
2020-01-01,2026-04-01,ONGC,snapshot_floor
2020-01-01,2026-04-01,POWERGRID,snapshot_floor
2020-01-01,2026-04-01,RELIANCE,snapshot_floor
2020-01-01,2026-04-01,SBIN,snapshot_floor
2020-01-01,2026-04-01,SUNPHARMA,snapshot_floor
2020-01-01,2026-04-01,TATASTEEL,snapshot_floor
2020-01-01,2026-04-01,TCS,snapshot_floor
2020-01-01,2026-04-01,TECHM,press_release
2020-01-01,2026-04-01,TITAN,press_release
2020-01-01,2026-04-01,TMPV,snapshot_floor
2020-01-01,2026-04-01,ULTRACEMCO,snapshot_floor
2020-01-01,2024-03-28,UPL,press_release
2020-01-01,2020-07-31,VEDL,press_release
2020-01-01,2026-04-01,WIPRO,snapshot_floor
2020-01-01,2020-03-27,YESBANK,press_release
2020-01-01,2020-09-25,ZEEL,press_release
2020-03-27,2022-09-30,SHREECEM,press_release
2020-07-31,2026-04-01,HDFCLIFE,press_release
2020-09-25,2024-09-30,DIVISLAB,press_release
2020-09-25,2026-04-01,SBILIFE,press_release
2021-03-31,2026-04-01,TATACONSUM,press_release
2022-03-31,2026-04-01,APOLLOHOSP,press_release
2022-09-30,2026-04-01,ADANIENT,press_release
2023-07-13,2024-09-30,LTIM,press_release
2024-03-28,2026-04-01,SHRIRAMFIN,press_release
2024-09-30,2026-04-01,BEL,press_release
2024-09-30,2026-04-01,TRENT,press_release
2025-03-28,2026-04-01,ETERNAL,press_release
2025-03-28,2026-04-01,JIOFIN,press_release
2025-09-30,2026-04-01,INDIGO,press_release
2025-09-30,2026-04-01,MAXHEALTH,press_release
